@RELATION interest 

@ATTRIBUTE previousWord2 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE previousWord1 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE nextWord1 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE nextWord2 {VBG,VBD,``,VBP,WDT,JJ,WP,VBZ,DT,NULL,PP,RP,NN,),(,RBR,FW,POS,TO,RB,NP,NNS,VB,AB,WRB,CC,RBS,#,VBN,EX,IN,X,MD,JJS,JJR,SYM,UH,NPS}
@ATTRIBUTE class {1,2,3,4,5,6} 
@DATA
NNS,IN,NNS,X,6
VB,VBG,NNS,IN,6
IN,JJ,NNS,X,6
AB,NN,IN,DT,5
NN,IN,IN,DT,5
VBN,CC,X,NULL,6
NN,DT,NN,IN,6
POS,JJ,VBD,DT,4
NN,CC,VBZ,DT,6
NN,NULL,TO,AB,5
DT,JJ,IN,JJ,1
RB,IN,NNS,NN,6
NN,IN,NNS,IN,6
NN,IN,NNS,RB,6
CC,VBN,TO,DT,6
NN,IN,NNS,DT,6
VBG,NP,IN,JJ,1
JJR,NP,NNS,VBZ,6
VBD,RB,IN,RBR,1
VB,JJ,NNS,CC,6
JJ,NNS,NN,IN,6
IN,JJR,NNS,TO,6
JJ,NN,(,IN,3
VBD,JJ,IN,NP,1
VBN,VBG,IN,DT,5
DT,JJ,IN,VBG,1
AB,NN,CC,JJR,5
IN,DT,NNS,PP,6
JJ,JJ,NNS,IN,6
AB,JJ,NN,RB,6
NN,IN,NN,VB,6
NN,IN,NN,VB,6
IN,DT,NN,VB,6
VB,JJ,NNS,IN,6
IN,NULL,NNS,VBD,6
VBG,VBG,IN,VB,1
VBG,IN,NNS,CC,6
NNS,DT,IN,WDT,6
DT,JJ,IN,NULL,4
DT,JJ,IN,VBG,4
NN,VBG,NNS,CC,6
NN,NP,VBD,VBN,1
RBS,NP,VBD,VBN,1
NNS,CC,NN,X,6
NN,POS,NN,VBZ,6
NP,NULL,IN,VBG,1
AB,NN,IN,DT,5
VB,JJ,DT,NN,3
RB,VBD,NNS,CC,6
NN,IN,NNS,X,6
NP,NN,IN,NULL,5
NN,IN,NNS,DT,6
VB,JJ,NNS,RB,6
JJ,JJ,NNS,IN,6
POS,JJS,``,IN,4
IN,NULL,IN,DT,1
IN,JJ,NNS,CC,6
VB,JJ,NULL,NP,3
VB,NP,CC,VBD,1
VBD,JJ,NNS,VBP,6
IN,JJ,NNS,IN,6
WRB,NN,NNS,NN,6
RB,VBZ,IN,VBG,5
NNS,IN,NN,CC,6
IN,JJR,NNS,AB,6
CC,VB,NNS,RB,6
DT,JJ,NN,VBD,6
VBD,RB,CC,PP,1
DT,JJ,IN,NP,1
CC,JJR,NNS,VBN,6
JJ,NN,MD,NN,5
PP,VBN,TO,IN,6
NP,CC,IN,JJ,5
CC,JJ,IN,DT,5
VBN,NN,IN,JJ,5
VBD,NULL,NN,CC,6
IN,DT,PP,VBD,6
NN,JJ,VB,X,6
NN,JJ,VB,X,6
NULL,NULL,IN,DT,6
NN,IN,NNS,DT,6
RP,NP,IN,NN,1
``,NULL,VBZ,DT,1
VB,RB,NNS,IN,6
NNS,VB,RB,IN,6
DT,JJ,IN,DT,4
NN,IN,IN,NN,5
IN,VBG,IN,DT,1
VBN,JJ,IN,JJ,1
PP,VB,RB,IN,6
NP,VBZ,NNS,X,6
NN,IN,NN,NNS,6
VBD,JJ,NNS,VBG,6
JJR,NP,NNS,CC,6
VBZ,WRB,NNS,NN,6
VBZ,NP,NNS,TO,6
NP,JJ,NNS,PP,6
IN,NP,NNS,DT,6
NP,POS,NN,NNS,6
NNS,CC,NN,NNS,6
IN,DT,NN,NNS,6
VB,DT,NN,NN,6
NNS,VBG,NN,NNS,6
IN,DT,NN,NNS,6
NN,POS,NN,NNS,6
NN,POS,NN,NNS,6
VBZ,VBG,IN,DT,1
JJ,JJ,IN,JJ,1
NP,VBZ,NNS,RB,6
TO,NN,VBD,TO,5
TO,NN,IN,NN,5
``,DT,NN,NNS,6
NN,IN,NNS,X,6
NN,IN,IN,NP,3
NN,JJ,IN,JJ,5
VBZ,DT,NN,IN,6
AB,NN,IN,NULL,5
CC,NN,CC,RB,5
AB,AB,IN,JJ,5
JJ,NULL,IN,NNS,1
